epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0796,1.94877,4.25433,2.36522,0.245,0.17288,0.09947,0.03315,2.15602,3.71375,2.77736,0.000367394,0.000367394,0.000367394
2,35.5372,1.88654,3.7763,2.28933,0.36658,0.19207,0.12339,0.03364,2.5521,4.09827,2.99351,0.000719469,0.000719469,0.000719469
3,52.6845,1.82758,3.57163,2.24565,0.23584,0.2432,0.13814,0.04498,2.30433,3.8041,2.88952,0.00105321,0.00105321,0.00105321
4,69.7727,1.81905,3.33708,2.23065,0.1784,0.30937,0.14984,0.05232,2.0891,3.71581,2.66375,0.00102851,0.00102851,0.00102851
5,86.8222,1.79818,3.1751,2.24527,0.42062,0.29688,0.27489,0.09381,2.1873,3.43763,2.68644,0.00100101,0.00100101,0.00100101
6,103.737,1.76048,3.07587,2.19787,0.28042,0.29448,0.20567,0.0707,2.15414,3.06351,2.69868,0.000973514,0.000973514,0.000973514
7,120.526,1.67732,2.89262,2.15355,0.50486,0.24905,0.26404,0.08801,2.12341,2.89329,2.59766,0.000946016,0.000946016,0.000946016
8,137.332,1.71645,2.82191,2.15574,0.49723,0.33784,0.32078,0.12091,2.02254,2.72314,2.50609,0.000918519,0.000918519,0.000918519
9,154.109,1.6631,2.80112,2.11311,0.30697,0.2916,0.2169,0.0777,2.15413,3.06393,2.66935,0.000891022,0.000891022,0.000891022
10,171.027,1.68124,2.62713,2.06784,0.36787,0.36184,0.30208,0.11231,2.01257,2.82925,2.49783,0.000863525,0.000863525,0.000863525
11,187.691,1.60954,2.60049,2.12668,0.51256,0.35625,0.36616,0.15485,1.95104,2.60237,2.40191,0.000836027,0.000836027,0.000836027
12,204.476,1.64397,2.55984,2.06909,0.47459,0.3404,0.30084,0.12524,1.93779,2.76874,2.4272,0.00080853,0.00080853,0.00080853
13,221.251,1.54608,2.43788,1.99797,0.43591,0.41097,0.34254,0.12041,2.03296,2.78094,2.50792,0.000781033,0.000781033,0.000781033
14,238.01,1.52148,2.37206,1.99818,0.51058,0.34608,0.37638,0.17757,1.86506,2.54232,2.36266,0.000753536,0.000753536,0.000753536
15,254.743,1.50091,2.36108,2.049,0.44816,0.44933,0.38316,0.17623,1.84712,2.59313,2.34674,0.000726038,0.000726038,0.000726038
16,271.636,1.59406,2.42076,2.01366,0.45845,0.40365,0.39862,0.1682,1.92686,2.44935,2.37616,0.000698541,0.000698541,0.000698541
17,288.521,1.60332,2.30982,1.9917,0.47119,0.29383,0.28015,0.10147,2.18516,2.67675,2.61965,0.000671044,0.000671044,0.000671044
18,305.187,1.46741,2.14257,1.95343,0.55163,0.42615,0.43671,0.1887,1.93785,2.36417,2.38147,0.000643547,0.000643547,0.000643547
19,322.045,1.50846,2.21418,1.95489,0.61428,0.42499,0.45131,0.195,1.90337,2.45235,2.34407,0.000616049,0.000616049,0.000616049
20,338.791,1.45291,2.12817,1.92897,0.58372,0.45803,0.48154,0.2346,1.88281,2.16154,2.31969,0.000588552,0.000588552,0.000588552
21,355.471,1.47945,2.14727,1.95543,0.6036,0.46204,0.48296,0.21992,1.85201,2.2783,2.32599,0.000561055,0.000561055,0.000561055
22,372.131,1.40904,2.09062,1.92514,0.5978,0.43998,0.48763,0.24382,1.83024,2.26709,2.28038,0.000533558,0.000533558,0.000533558
23,388.892,1.41827,2.0719,1.8969,0.53606,0.47021,0.46986,0.22764,1.7852,2.32645,2.26726,0.00050606,0.00050606,0.00050606
24,405.789,1.46425,2.00694,1.88537,0.51564,0.41848,0.4601,0.21489,1.83658,2.1997,2.26065,0.000478563,0.000478563,0.000478563
25,422.484,1.36255,1.928,1.88039,0.68657,0.40765,0.48912,0.23275,1.8003,2.21212,2.30919,0.000451066,0.000451066,0.000451066
26,439.206,1.42385,1.98532,1.90718,0.66362,0.427,0.49143,0.24274,1.79285,2.16785,2.21653,0.000423569,0.000423569,0.000423569
27,456.036,1.35307,1.85629,1.81885,0.52313,0.51078,0.50383,0.24435,1.78794,2.14267,2.25338,0.000396071,0.000396071,0.000396071
28,472.757,1.32893,1.83353,1.84506,0.65309,0.45438,0.49137,0.25105,1.75734,2.14433,2.1893,0.000368574,0.000368574,0.000368574
29,489.618,1.42078,1.83183,1.84158,0.58231,0.49265,0.48729,0.24714,1.7481,2.16561,2.22557,0.000341077,0.000341077,0.000341077
30,506.381,1.37251,1.79042,1.83226,0.67754,0.45514,0.53899,0.28322,1.79146,2.02493,2.24202,0.00031358,0.00031358,0.00031358
31,547.836,1.50122,1.99131,1.91759,0.67917,0.46812,0.53185,0.29237,1.72802,2.12352,2.21159,0.000286083,0.000286083,0.000286083
32,564.39,1.44845,1.86343,1.92628,0.73131,0.49517,0.54644,0.30023,1.72294,1.96262,2.25318,0.000258585,0.000258585,0.000258585
33,580.908,1.3848,1.75934,1.87942,0.78769,0.4344,0.55025,0.31862,1.68483,1.92101,2.19616,0.000231088,0.000231088,0.000231088
34,597.497,1.36363,1.68063,1.82279,0.73738,0.50034,0.57081,0.3256,1.69001,1.93964,2.19037,0.000203591,0.000203591,0.000203591
35,614.08,1.30657,1.60688,1.85168,0.7486,0.46125,0.56438,0.32389,1.66164,1.89767,2.16744,0.000176094,0.000176094,0.000176094
36,630.661,1.28826,1.58845,1.79545,0.76958,0.44636,0.55909,0.32902,1.66343,1.94118,2.19217,0.000148596,0.000148596,0.000148596
37,647.263,1.31707,1.58252,1.79234,0.69233,0.49578,0.56309,0.33259,1.66338,1.88394,2.20184,0.000121099,0.000121099,0.000121099
38,663.809,1.26587,1.51718,1.77262,0.70363,0.48661,0.57339,0.33816,1.65733,1.90264,2.1939,9.36017e-05,9.36017e-05,9.36017e-05
39,680.357,1.29338,1.51666,1.79892,0.786,0.45879,0.572,0.34628,1.66531,1.90183,2.19585,6.61045e-05,6.61045e-05,6.61045e-05
40,696.885,1.23777,1.46524,1.77508,0.77968,0.45905,0.56505,0.34396,1.65179,1.88026,2.18283,3.86073e-05,3.86073e-05,3.86073e-05
