epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1587,1.41579,3.20892,1.70466,0.47175,0.3041,0.26258,0.14476,1.68238,2.88872,2.21477,0.000367394,0.000367394,0.000367394
2,21.4657,1.49147,2.72125,1.73736,0.40416,0.30049,0.27785,0.1223,1.80647,3.54453,2.15821,0.000719469,0.000719469,0.000719469
3,31.5966,1.45885,2.59483,1.74667,0.34417,0.32525,0.28931,0.15883,1.68699,2.72892,2.25434,0.00105321,0.00105321,0.00105321
4,41.7331,1.54774,2.46053,1.74701,0.31206,0.38522,0.24553,0.11038,1.77805,3.63422,2.25594,0.00102851,0.00102851,0.00102851
5,51.7768,1.53135,2.37409,1.76976,0.33635,0.38709,0.33455,0.19343,1.59649,2.59105,2.09101,0.00100101,0.00100101,0.00100101
6,61.7409,1.49017,2.32218,1.73355,0.59499,0.41341,0.45984,0.26019,1.61818,2.36047,2.14307,0.000973514,0.000973514,0.000973514
7,71.769,1.44087,2.23253,1.71765,0.57167,0.43854,0.45611,0.27189,1.6111,2.15606,2.09589,0.000946016,0.000946016,0.000946016
8,81.7455,1.44784,2.19855,1.70602,0.58239,0.47473,0.50674,0.25927,1.67242,2.39477,2.07902,0.000918519,0.000918519,0.000918519
9,91.7215,1.43942,2.17813,1.6641,0.63321,0.41624,0.47655,0.28661,1.61965,2.14538,2.01482,0.000891022,0.000891022,0.000891022
10,101.789,1.46821,2.01924,1.64558,0.62286,0.47314,0.51186,0.29893,1.53866,2.17764,1.9396,0.000863525,0.000863525,0.000863525
11,111.739,1.404,2.00231,1.67005,0.52119,0.51006,0.51646,0.2918,1.54298,2.00377,2.00434,0.000836027,0.000836027,0.000836027
12,121.764,1.378,1.95598,1.63199,0.70093,0.42549,0.47184,0.30764,1.49663,1.97788,1.90778,0.00080853,0.00080853,0.00080853
13,131.743,1.293,1.85682,1.57597,0.78333,0.42463,0.52316,0.31965,1.54388,1.91375,2.00833,0.000781033,0.000781033,0.000781033
14,141.803,1.29653,1.79151,1.59185,0.69147,0.52206,0.60286,0.35954,1.47948,1.81134,1.9295,0.000753536,0.000753536,0.000753536
15,151.715,1.26337,1.74632,1.58789,0.74708,0.53538,0.60655,0.37026,1.48494,1.76466,1.91086,0.000726038,0.000726038,0.000726038
16,161.735,1.33971,1.82982,1.5885,0.8129,0.52085,0.60498,0.37788,1.53006,1.77483,1.91719,0.000698541,0.000698541,0.000698541
17,171.749,1.35263,1.7353,1.55975,0.8073,0.52831,0.60582,0.39241,1.46255,1.79257,1.86154,0.000671044,0.000671044,0.000671044
18,181.683,1.26528,1.65239,1.55665,0.85212,0.577,0.66361,0.42105,1.39864,1.61882,1.81687,0.000643547,0.000643547,0.000643547
19,191.732,1.28922,1.63997,1.54969,0.77809,0.54741,0.61135,0.39625,1.44754,1.80156,1.86144,0.000616049,0.000616049,0.000616049
20,201.65,1.21234,1.55513,1.49758,0.75984,0.53655,0.6127,0.40789,1.39929,1.62988,1.77949,0.000588552,0.000588552,0.000588552
21,211.817,1.23873,1.59134,1.52091,0.86001,0.58257,0.65485,0.41923,1.40195,1.61826,1.77754,0.000561055,0.000561055,0.000561055
22,221.778,1.18865,1.52848,1.49853,0.82051,0.56727,0.65905,0.40923,1.44172,1.61,1.79639,0.000533558,0.000533558,0.000533558
23,231.76,1.17354,1.46638,1.49816,0.76666,0.59514,0.65595,0.4424,1.39182,1.4863,1.77158,0.00050606,0.00050606,0.00050606
24,241.783,1.20051,1.44842,1.48531,0.81796,0.57054,0.64997,0.41376,1.41186,1.56096,1.78917,0.000478563,0.000478563,0.000478563
25,251.616,1.1529,1.39687,1.47,0.79019,0.60586,0.69575,0.46246,1.37984,1.4851,1.73259,0.000451066,0.000451066,0.000451066
26,261.54,1.13651,1.39088,1.48697,0.82558,0.57646,0.68027,0.43693,1.47025,1.52895,1.81442,0.000423569,0.000423569,0.000423569
27,271.5,1.1668,1.36197,1.44155,0.85345,0.60473,0.69032,0.4503,1.40934,1.56388,1.77046,0.000396071,0.000396071,0.000396071
28,281.49,1.12159,1.36742,1.47364,0.78003,0.65546,0.70579,0.446,1.41739,1.39671,1.78139,0.000368574,0.000368574,0.000368574
29,291.464,1.16206,1.30678,1.44498,0.86511,0.61055,0.70056,0.48457,1.36812,1.4036,1.76602,0.000341077,0.000341077,0.000341077
30,301.421,1.17354,1.29719,1.44678,0.8412,0.6344,0.71319,0.50051,1.32984,1.37755,1.70625,0.00031358,0.00031358,0.00031358
31,336.19,0.99243,1.26911,1.45797,0.76711,0.63247,0.69304,0.4739,1.39338,1.40537,1.80489,0.000286083,0.000286083,0.000286083
