epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6999,1.80211,3.84182,2.21556,0.35961,0.2635,0.20589,0.08203,2.12209,3.31431,2.5257,0.000367394,0.000367394,0.000367394
2,36.1156,1.7341,3.37498,2.08911,0.2556,0.39604,0.2632,0.11205,2.05704,4.51438,2.41695,0.000719469,0.000719469,0.000719469
3,53.3517,1.70349,3.07461,2.09276,0.37347,0.28153,0.27434,0.1034,2.06311,2.88715,2.49661,0.00105321,0.00105321,0.00105321
4,70.4916,1.73734,2.94543,2.09511,0.48016,0.26157,0.27723,0.10424,2.13404,3.23694,2.4593,0.00102851,0.00102851,0.00102851
5,87.8983,1.67122,2.87971,2.08331,0.51154,0.21837,0.22814,0.08013,2.15529,3.05074,2.56208,0.00100101,0.00100101,0.00100101
6,104.902,1.68979,2.73889,2.04995,0.37579,0.40023,0.31554,0.10522,2.0621,2.70611,2.39444,0.000973514,0.000973514,0.000973514
7,121.76,1.60709,2.62834,2.00475,0.51502,0.35758,0.33832,0.12622,1.99332,2.69325,2.39524,0.000946016,0.000946016,0.000946016
8,138.81,1.63673,2.57241,2.02892,0.46367,0.42414,0.37116,0.14633,1.9975,2.40729,2.28125,0.000918519,0.000918519,0.000918519
9,155.787,1.62478,2.52068,1.98766,0.46153,0.39021,0.36545,0.14913,1.92747,2.41509,2.30047,0.000891022,0.000891022,0.000891022
10,172.706,1.56267,2.34024,1.95384,0.6508,0.38679,0.41635,0.17163,1.8771,2.4357,2.23678,0.000863525,0.000863525,0.000863525
11,189.493,1.58187,2.33151,1.97824,0.54331,0.36039,0.40701,0.14415,1.94401,2.76514,2.45826,0.000836027,0.000836027,0.000836027
12,206.41,1.52649,2.23437,1.92879,0.50625,0.46913,0.41772,0.18262,1.83626,2.25773,2.20843,0.00080853,0.00080853,0.00080853
13,223.18,1.49374,2.10233,1.90952,0.49697,0.39847,0.42838,0.19701,1.82598,2.22271,2.21282,0.000781033,0.000781033,0.000781033
14,239.924,1.45051,2.04992,1.88635,0.61613,0.42433,0.46727,0.21698,1.77076,2.14259,2.17569,0.000753536,0.000753536,0.000753536
15,256.549,1.42063,2.01928,1.90791,0.56302,0.52806,0.50433,0.24502,1.75336,2.0514,2.17152,0.000726038,0.000726038,0.000726038
16,273.326,1.48509,2.0282,1.86503,0.57184,0.4866,0.50025,0.23006,1.76749,2.08788,2.14278,0.000698541,0.000698541,0.000698541
