epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9028,1.53121,3.27171,1.79166,0.61619,0.25835,0.26713,0.16629,1.60415,2.90302,2.05392,0.000367394,0.000367394,0.000367394
2,21.0003,1.57545,2.82979,1.82386,0.3396,0.26068,0.26863,0.12408,1.84804,2.97504,2.38706,0.000719469,0.000719469,0.000719469
3,30.9658,1.53453,2.70863,1.81824,0.34466,0.29641,0.24333,0.11629,1.88784,2.98306,2.34277,0.00105321,0.00105321,0.00105321
4,40.8848,1.63558,2.55932,1.8204,0.28568,0.45448,0.33177,0.16117,1.71731,2.84475,2.21551,0.00102851,0.00102851,0.00102851
5,50.9089,1.59242,2.55727,1.82167,0.43129,0.31508,0.32691,0.17544,1.82742,2.77682,2.27379,0.00100101,0.00100101,0.00100101
6,60.7455,1.57661,2.52538,1.82471,0.58279,0.32686,0.33207,0.17576,1.67495,2.70368,2.15903,0.000973514,0.000973514,0.000973514
7,70.5806,1.53584,2.39301,1.79533,0.41992,0.38246,0.27689,0.12587,1.69941,2.82813,2.13187,0.000946016,0.000946016,0.000946016
8,80.5359,1.50327,2.32284,1.77806,0.5396,0.42892,0.44168,0.21412,1.75733,2.61421,2.17544,0.000918519,0.000918519,0.000918519
9,90.4317,1.49448,2.27905,1.72241,0.62604,0.33576,0.39696,0.19768,1.78696,2.4389,2.21941,0.000891022,0.000891022,0.000891022
10,100.382,1.53796,2.15904,1.7225,0.53977,0.4313,0.43415,0.25221,1.58418,2.38655,1.9985,0.000863525,0.000863525,0.000863525
11,110.273,1.46525,2.17846,1.74749,0.66061,0.38336,0.47222,0.2599,1.59529,2.24344,2.05643,0.000836027,0.000836027,0.000836027
12,120.178,1.46614,2.12576,1.7018,0.68667,0.39728,0.45929,0.27659,1.65075,2.23718,2.11448,0.00080853,0.00080853,0.00080853
13,130.094,1.35453,2.01001,1.62553,0.66369,0.47102,0.51026,0.31872,1.51638,2.05743,1.95482,0.000781033,0.000781033,0.000781033
14,140.001,1.36364,1.94451,1.63468,0.7539,0.48586,0.53847,0.31944,1.5462,1.97258,1.95073,0.000753536,0.000753536,0.000753536
15,149.824,1.34095,1.9567,1.66283,0.72937,0.47525,0.55527,0.33521,1.58116,2.03292,2.03884,0.000726038,0.000726038,0.000726038
16,159.799,1.43838,2.01954,1.67359,0.62057,0.47931,0.48226,0.27064,1.64157,2.08138,2.04657,0.000698541,0.000698541,0.000698541
17,169.753,1.41192,1.89404,1.63841,0.70238,0.45871,0.51705,0.3313,1.52264,2.09539,1.93867,0.000671044,0.000671044,0.000671044
18,179.694,1.29296,1.80065,1.59605,0.79083,0.50593,0.58188,0.37214,1.50792,1.83751,1.93242,0.000643547,0.000643547,0.000643547
19,189.611,1.35037,1.8298,1.60977,0.68783,0.4499,0.53682,0.35465,1.50823,1.86175,1.9142,0.000616049,0.000616049,0.000616049
20,199.44,1.28572,1.71618,1.57655,0.695,0.47067,0.53551,0.36699,1.43231,1.76204,1.84346,0.000588552,0.000588552,0.000588552
21,209.307,1.29649,1.72021,1.57895,0.81278,0.44491,0.54114,0.3684,1.45147,1.88396,1.8524,0.000561055,0.000561055,0.000561055
22,219.176,1.25969,1.67669,1.5559,0.80278,0.4918,0.59499,0.38708,1.46847,1.6914,1.84094,0.000533558,0.000533558,0.000533558
23,229.084,1.24364,1.61121,1.5618,0.75995,0.47994,0.55307,0.37535,1.45577,1.86272,1.85326,0.00050606,0.00050606,0.00050606
24,239.004,1.26285,1.64966,1.53864,0.70637,0.50521,0.54134,0.35734,1.5312,1.96422,1.90763,0.000478563,0.000478563,0.000478563
25,248.856,1.22812,1.61231,1.55407,0.76548,0.49161,0.59788,0.39397,1.49201,1.7099,1.87215,0.000451066,0.000451066,0.000451066
26,258.751,1.19857,1.57346,1.5472,0.78163,0.51665,0.60499,0.41342,1.48328,1.71879,1.85496,0.000423569,0.000423569,0.000423569
27,268.628,1.23149,1.52442,1.4973,0.78693,0.52957,0.60315,0.41856,1.42644,1.66059,1.81477,0.000396071,0.000396071,0.000396071
28,278.547,1.17857,1.48957,1.53584,0.72792,0.57369,0.59483,0.40148,1.45405,1.7832,1.85125,0.000368574,0.000368574,0.000368574
29,288.444,1.24264,1.49222,1.5199,0.8042,0.51583,0.62035,0.40884,1.44456,1.58404,1.82627,0.000341077,0.000341077,0.000341077
30,298.298,1.23468,1.47909,1.51107,0.75022,0.51309,0.62081,0.42731,1.40762,1.59172,1.78269,0.00031358,0.00031358,0.00031358
31,332.579,1.06989,1.50009,1.53314,0.69941,0.58642,0.63434,0.42106,1.45831,1.52603,1.84786,0.000286083,0.000286083,0.000286083
32,342.308,0.99624,1.36378,1.50338,0.72504,0.59529,0.64216,0.43559,1.39149,1.44673,1.77236,0.000258585,0.000258585,0.000258585
33,352.074,0.99532,1.28101,1.46929,0.77163,0.56936,0.63545,0.45266,1.39097,1.49722,1.75664,0.000231088,0.000231088,0.000231088
34,361.816,0.97234,1.26332,1.45269,0.75514,0.57819,0.62755,0.45944,1.36404,1.55938,1.71536,0.000203591,0.000203591,0.000203591
35,371.606,0.96811,1.20545,1.45828,0.84307,0.5242,0.64085,0.45287,1.38768,1.55862,1.74686,0.000176094,0.000176094,0.000176094
36,381.49,0.93697,1.17026,1.44078,0.82912,0.55429,0.64843,0.46113,1.35663,1.46393,1.71579,0.000148596,0.000148596,0.000148596
37,391.397,0.89606,1.12277,1.41676,0.84742,0.54822,0.64981,0.46429,1.34219,1.47502,1.70462,0.000121099,0.000121099,0.000121099
38,401.171,0.90702,1.05191,1.40466,0.72007,0.60676,0.63981,0.46026,1.36101,1.61456,1.72595,9.36017e-05,9.36017e-05,9.36017e-05
39,410.984,0.89402,1.08566,1.40767,0.74466,0.59033,0.63935,0.46333,1.37369,1.63363,1.73966,6.61045e-05,6.61045e-05,6.61045e-05
40,420.771,0.87895,1.06364,1.38325,0.69689,0.61056,0.64566,0.46261,1.37763,1.61146,1.73943,3.86073e-05,3.86073e-05,3.86073e-05
